,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,4,ボー・ブリースケ,3.60,25,1,0,0,0,2,3,5,2,.400,35,36,4,31,7.97,12,0,0,0,14,14,.259,2.58,1.37,デトロイト・タイガース
1,12,ケーシー・マイズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
2,19,ウィル・ベスト,2.98,48,4,0,0,0,2,1,11,2,.667,48.1,40,3,56,10.43,13,0,0,0,18,16,.216,4.31,1.10,デトロイト・タイガース
3,25,マット・マニング,3.58,15,15,0,0,4,5,4,0,0,.556,78,60,11,50,5.77,21,5,0,0,37,31,.212,2.38,1.04,デトロイト・タイガース
4,29,タリク・スカバル,2.80,15,15,0,0,5,7,3,0,0,.700,80.1,58,4,102,11.43,14,3,1,0,28,25,.199,7.29,0.90,デトロイト・タイガース
5,43,ジョセフ・ウエンツ,6.90,25,19,0,0,1,3,13,0,0,.188,105.2,131,25,98,8.35,47,0,2,2,87,81,.295,2.09,1.68,デトロイト・タイガース
6,45,リース・オルソン,3.99,21,18,0,0,6,5,7,1,0,.417,103.2,83,14,103,8.94,33,1,4,1,49,46,.215,3.12,1.12,デトロイト・タイガース
7,48,マット・ボイド,5.45,15,15,0,0,2,5,5,0,0,.500,71,69,11,73,9.25,25,2,2,0,46,43,.250,2.92,1.32,デトロイト・タイガース
8,49,アレックス・ファエード,4.45,15,12,0,0,4,2,5,1,0,.286,64.2,48,12,58,8.07,20,1,3,0,35,32,.200,2.90,1.05,デトロイト・タイガース
9,50,ギャレット・ヒル,9.19,9,0,0,0,0,0,0,1,1,.000,15.2,19,4,14,8.04,14,1,1,0,20,16,.302,1.00,2.11,デトロイト・タイガース
10,52,ブレンダン・ホワイト,5.09,33,2,0,0,0,2,3,1,0,.400,40.2,40,4,44,9.74,15,5,1,0,25,23,.258,2.93,1.35,デトロイト・タイガース
11,53,メイソン・イングラート,5.46,31,1,0,0,0,4,3,2,0,.571,56,67,12,41,6.59,17,2,2,0,39,34,.291,2.41,1.50,デトロイト・タイガース
12,55,アレックス・ランゲ,3.68,67,0,0,0,0,7,5,6,26,.583,66,43,6,79,10.77,45,6,4,0,30,27,.185,1.76,1.33,デトロイト・タイガース
13,56,スペンサー・ターンブル,7.26,7,7,0,0,0,1,4,0,0,.200,31,37,5,24,6.97,15,3,2,0,26,25,.291,1.60,1.68,デトロイト・タイガース
14,57,エデュアルド・ロドリゲス,3.30,26,26,0,0,14,13,9,0,0,.591,152.2,128,15,143,8.43,48,3,3,0,59,56,.227,2.98,1.15,デトロイト・タイガース
15,58,ミゲル・ディアス,0.64,12,3,0,0,0,1,0,2,0,1.000,14,8,0,16,10.29,5,0,0,0,1,1,.163,3.20,0.93,デトロイト・タイガース
16,62,トレイ・ウィンゲンター,5.82,17,0,0,0,0,1,0,0,0,1.000,17,16,2,22,11.65,7,3,3,0,11,11,.246,3.14,1.35,デトロイト・タイガース
17,64,フレディ・パチェコ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
18,65,アンドルー・バスケス,3.35,42,0,0,0,0,2,1,2,0,.667,48.1,46,4,43,8.01,23,7,2,3,21,18,.247,1.87,1.43,デトロイト・タイガース
19,66,ソーヤー・ギプソンロング,2.70,4,4,0,0,0,1,0,0,0,1.000,20,14,2,26,11.70,8,0,0,0,7,6,.189,3.25,1.10,デトロイト・タイガース
20,67,ホセ・シスネイロ,5.31,63,0,0,0,0,3,4,14,2,.429,59.1,63,10,70,10.62,25,5,9,0,39,35,.270,2.80,1.48,デトロイト・タイガース
21,68,ジェーソン・フォーリー,2.61,70,0,0,0,0,3,3,28,7,.500,69,65,2,55,7.17,15,1,2,0,21,20,.251,3.67,1.16,デトロイト・タイガース
22,70,タイラー・アレクサンダー,4.50,25,1,0,0,0,2,1,2,0,.667,44,44,8,44,9.00,5,2,0,0,25,22,.256,8.80,1.11,デトロイト・タイガース
23,75,ブレナン・ハニフィー,5.40,3,0,0,0,0,0,0,0,0,.000,5,8,1,3,5.40,0,0,1,0,3,3,.348,0.00,1.60,デトロイト・タイガース
24,87,タイラー・ホルトン,2.11,59,1,0,0,0,3,2,14,1,.600,85.1,56,9,74,7.80,18,1,4,0,21,20,.185,4.11,0.87,デトロイト・タイガース
25,15,カーソン・ケリー,10.13,3,0,0,0,0,0,0,0,0,.000,2.2,9,1,1,3.38,1,0,0,0,3,3,.529,1.00,3.75,デトロイト・タイガース
26,39,ザック・マッキンストリー,18.00,1,0,0,0,0,0,0,0,0,.000,1,3,1,0,0.00,0,0,0,0,2,2,.500,0.00,3.00,デトロイト・タイガース
27,59,ザック・ショート,6.00,6,0,0,0,0,0,0,0,0,.000,6,12,0,1,1.50,1,1,0,0,4,4,.400,1.00,2.17,デトロイト・タイガース
