,順位,チーム,試合,勝,敗,引分,勝率,ゲーム差,得点,失点,本塁打,盗塁,打率,防御率,失策
0,1,オリオールズ,162,101,61,0,.623,-,807,678,183,114,.255,3.89,71
1,2,レイズ,162,99,63,0,.611,2,860,665,230,160,.260,3.86,74
2,3,ブルージェイズ,162,89,73,0,.549,10,746,671,188,99,.256,3.78,71
3,4,ヤンキース,162,82,80,0,.506,7,673,698,219,100,.227,3.97,96
4,5,Rソックス,162,78,84,0,.481,4,772,776,182,112,.258,4.52,102
5,1,ツインズ,162,87,75,0,.537,-,778,659,233,86,.243,3.87,66
6,2,タイガース,162,78,84,0,.481,9,661,740,165,85,.236,4.24,100
7,3,ガーディアンズ,162,76,86,0,.469,2,662,697,124,151,.250,3.99,82
8,4,Wソックス,162,61,101,0,.377,15,641,841,171,86,.238,4.87,95
9,5,ロイヤルズ,162,56,106,0,.346,5,676,859,163,163,.244,5.17,80
10,1,アストロズ,162,90,72,0,.556,-,827,698,222,107,.259,3.94,81
11,2,レンジャーズ,162,90,72,0,.556,-,881,716,233,79,.263,4.28,57
12,3,マリナーズ,162,88,74,0,.543,2,758,659,210,118,.242,3.74,73
13,4,エンゼルス,162,73,89,0,.451,15,739,829,231,72,.245,4.64,95
14,5,アスレチックス,162,50,112,0,.309,23,585,924,171,149,.223,5.48,102
15,1,ブレーブス,162,104,58,0,.642,-,947,716,307,132,.276,4.14,82
16,2,フィリーズ,162,90,72,0,.556,14,796,715,220,141,.256,4.02,92
17,3,マーリンズ,161,84,77,0,.522,5.5,666,722,166,86,.259,4.24,96
18,4,メッツ,161,74,87,0,.460,10,716,729,215,117,.238,4.32,88
19,5,ナショナルズ,162,71,91,0,.438,3.5,700,845,151,127,.254,5.02,90
20,1,ブリュワーズ,162,92,70,0,.568,-,728,647,165,129,.240,3.71,77
21,2,カブス,162,83,79,0,.512,9,819,723,196,140,.254,4.08,92
22,3,レッズ,162,82,80,0,.506,1,783,821,198,190,.249,4.83,91
23,4,パイレーツ,162,76,86,0,.469,6,692,790,159,117,.239,4.60,91
24,5,カージナルス,162,71,91,0,.438,5,719,829,209,101,.250,4.79,67
25,1,ドジャース,162,100,62,0,.617,-,906,699,249,105,.257,4.06,76
26,2,Dバックス,162,84,78,0,.519,16,746,761,166,166,.250,4.48,56
27,3,パドレス,162,82,80,0,.506,2,752,648,205,137,.244,3.73,73
28,4,ジャイアンツ,162,79,83,0,.488,3,674,719,174,57,.235,4.02,116
29,5,ロッキーズ,162,59,103,0,.364,20,721,957,163,75,.249,5.67,82
